#,Age,City,College,Conference,Division,Exp.,Ht.,Name,Pos.,Team,Team Logo,Team Roster,Wt.
20,25,"Atlanta, GA",Florida Atlantic,NFC,NFC-South,2,6-0,"Neasman, Sharrod",S,Falcons,https://cpt.azureedge.net/NFLTeamImages/falcons.png,http://www.atlantafalcons.com/team/player-roster.html,198
21,25,"Cincinnati, OH",Michigan State,AFC,AFC-North,4,5-11,"Dennard, Darqueze",CB,Bengals,https://cpt.azureedge.net/NFLTeamImages/bengals.png,http://www.bengals.com/team/roster.html,198
21,25,"Jacksonville, FK",Central Florida,AFC,AFC-South,5,6-0,"Bouye, A.J.",CB,Jaguars,https://cpt.azureedge.net/NFLTeamImages/jaguars.png,http://www.jaguars.com/team/roster.html,191
21,25,"Minneapolis , MN",Georgia Southern,NFC,NFC-North,3,5-9,"McKinnon, Jerick",RB,Vikings,https://cpt.azureedge.net/NFLTeamImages/vikings.png,http://www.vikings.com/team/roster.html,205
22,25,"Jacksonville, FK",Oklahoma,AFC,AFC-South,4,6-0,"Colvin, Aaron",CB,Jaguars,https://cpt.azureedge.net/NFLTeamImages/jaguars.png,http://www.jaguars.com/team/roster.html,193
22,25,"San Diego, CA",Texas Christian,AFC,AFC-West,4,5-10,"Verrett, Jason",CB,Chargers,https://cpt.azureedge.net/NFLTeamImages/chargers.png,http://www.chargers.com/team/roster,188
22,25,"Washington, DC",Texas A&M,NFC,NFC-East,3,6-0,"Everett, Deshazor",S,Redskins,https://cpt.azureedge.net/NFLTeamImages/redskins.png,http://www.redskins.com/team/roster.html,195
23,25,"Baltimore, MD",Oklahoma,AFC,AFC-North,5,5-11,"Jefferson, Tony",S,Ravens,https://cpt.azureedge.net/NFLTeamImages/ravenss.png,http://www.baltimoreravens.com/team/roster.html,212
23,25,"Charlotte, NC",Catawba,NFC,NFC-South,3,6-0,"McCray, L.J.",S,Panthers,https://cpt.azureedge.net/NFLTeamImages/panthers.png,http://www.panthers.com/team/roster.html,210
23,25,"Chicago, IL",Virginia Tech,NFC,NFC-North,4,6-0,"Fuller, Kyle",DB,Bears,https://cpt.azureedge.net/NFLTeamImages/bears.png,http://www.chicagobears.com/team/roster.html,190
23,25,"Cincinnati, OH",San Jose State,AFC,AFC-North,4,6-0,"Benwikere, Bene",CB,Bengals,https://cpt.azureedge.net/NFLTeamImages/bengals.png,http://www.bengals.com/team/roster.html,195
23,25,"Denver, CO",Utah,AFC,AFC-West,2,5-11,"Booker, Devontae",RB,Broncos,https://cpt.azureedge.net/NFLTeamImages/broncos.png,http://www.denverbroncos.com/team/roster.html,219
23,25,"Houston, TX",Michigan State,AFC,AFC-South,2,6-1,"Drummond, Kurtis",S,Texans,https://cpt.azureedge.net/NFLTeamImages/texans.png,http://www.houstontexans.com/team/roster.html,200
23,25,"New Orleans, LA",Missouri,NFC,NFC-South,2,5-9,"Murphy, Marcus",RB/RS,Saints,https://cpt.azureedge.net/NFLTeamImages/saints.png,http://www.neworleanssaints.com/team/roster.html,195
23,25,"Oakland, CA",Kansas,AFC,AFC-West,3,6-1,"McDonald, Dexter",CB,Raiders,https://cpt.azureedge.net/NFLTeamImages/raiders.png,http://www.raiders.com/team/roster.html,200
23,25,"San Diego, CA",Tulsa,AFC,AFC-West,2,6-4,"McCoil, Dexter",S,Chargers,https://cpt.azureedge.net/NFLTeamImages/chargers.png,http://www.chargers.com/team/roster,220
23,25,"St. Louis, MO",USC,NFC,NFC-West,5,5-8,"Robey-Coleman, Nickell",DB,Rams,https://cpt.azureedge.net/NFLTeamImages/rams.png,http://www.therams.com/team/roster.html,178
24,25,"Atlanta, GA",Florida State,NFC,NFC-South,4,5-8,"Freeman, Devonta",RB,Falcons,https://cpt.azureedge.net/NFLTeamImages/falcons.png,http://www.atlantafalcons.com/team/player-roster.html,206
24,25,"Cleveland, OH",Northwestern,AFC,AFC-North,3,5-11,"Campbell, Ibraheim",DB,Browns,https://cpt.azureedge.net/NFLTeamImages/browns.png,http://www.clevelandbrowns.com/team/roster.html,208
